KEY,TICKER,TRANSCRIPT_DATE,negative_count,positive_count,uncertain_count,litigious_count,SENTIMENT
A_2018-09-28,A,2018-07-31,96,198,101,4,-1
A_2018-12-31,A,2018-11-19,98,215,109,6,-1
A_2019-03-29,A,2019-01-31,86,208,110,3,-1
A_2019-06-28,A,2019-05-14,119,143,121,6,-1
A_2019-09-30,A,2019-08-14,76,173,89,8,1
A_2019-12-31,A,2019-11-25,84,172,127,5,1
AA_2018-09-28,AA,2018-06-30,178,91,77,22,1
AA_2019-03-29,AA,2019-01-16,145,144,72,16,1
AA_2019-06-28,AA,2019-04-17,145,189,94,11,1
AA_2019-09-30,AA,2019-07-17,165,184,73,12,1
AA_2019-12-31,AA,2019-10-16,113,177,86,6,1
AAP_2018-12-31,AAP,2018-11-13,112,302,58,3,1
AAP_2019-06-28,AAP,2019-05-22,93,228,64,2,1
AAP_2019-09-30,AAP,2019-08-13,125,252,89,7,1
AAP_2019-12-31,AAP,2019-11-12,93,288,67,2,1
AAPL_2018-09-28,AAPL,2018-06-30,48,139,65,3,1
AAPL_2018-12-31,AAPL,2018-11-01,39,152,56,2,1
AAPL_2019-03-29,AAPL,2019-01-31,60,138,68,4,1
AAPL_2019-06-28,AAPL,2019-04-30,61,153,47,7,1
AAPL_2019-09-30,AAPL,2019-07-30,50,150,37,3,1
AAPL_2019-12-31,AAPL,2019-10-30,58,175,71,2,1
ABBV_2018-12-31,ABBV,2018-11-02,77,162,98,18,1
ABBV_2019-06-28,ABBV,2019-04-25,103,167,87,13,1
ABBV_2019-09-30,ABBV,2019-07-26,105,155,119,23,1
ABBV_2019-12-31,ABBV,2019-11-01,93,175,77,16,1
ABC_2018-12-31,ABC,2018-11-06,83,234,61,20,1
ABC_2019-06-28,ABC,2019-05-02,76,204,62,21,1
ABC_2019-09-30,ABC,2019-08-01,76,235,47,16,1
ABC_2019-12-31,ABC,2019-11-07,69,187,44,42,1
ABMD_2018-12-31,ABMD,2018-11-01,89,133,69,5,-1
ABMD_2019-06-28,ABMD,2019-05-02,112,136,89,6,-1
ABMD_2019-09-30,ABMD,2019-08-01,125,118,64,4,1
ABMD_2019-12-31,ABMD,2019-10-31,87,157,68,5,1
ABT_2018-09-28,ABT,2018-06-30,103,214,68,15,-1
ABT_2019-06-28,ABT,2019-04-17,86,150,61,10,-1
ABT_2019-09-30,ABT,2019-07-17,83,173,68,9,-1
ABT_2019-12-31,ABT,2019-10-16,84,186,72,10,-1
ACAD_2019-03-29,ACAD,2019-02-26,94,125,73,8,1
ACAD_2019-06-28,ACAD,2019-05-01,146,153,101,4,1
ACAD_2019-09-30,ACAD,2019-07-31,83,93,81,2,-1
ACAD_2019-12-31,ACAD,2019-10-30,136,170,82,8,-1
ACM_2017-12-29,ACM,2017-09-30,98,171,80,15,1
ACM_2019-09-30,ACM,2019-08-06,68,137,60,14,1
ACM_2019-12-31,ACM,2019-11-12,86,179,79,7,-1
ACN_2018-06-29,ACN,2018-05-31,61,202,61,8,1
ACN_2018-09-28,ACN,2018-08-31,65,169,81,6,1
ACN_2018-12-31,ACN,2018-11-30,82,181,92,8,1
ACN_2019-03-29,ACN,2019-02-28,64,145,71,3,1
ACN_2019-12-31,ACN,2019-12-19,52,186,53,0,1
ACOR_2018-12-31,ACOR,2018-10-31,87,95,75,18,0
ACOR_2019-06-28,ACOR,2019-05-02,47,62,52,8,0
ACOR_2019-09-30,ACOR,2019-08-01,74,86,73,5,0
ADBE_2018-03-30,ADBE,2018-03-02,45,201,57,1,1
ADBE_2018-06-29,ADBE,2018-05-31,65,225,72,4,1
ADBE_2018-09-28,ADBE,2018-08-31,58,215,63,2,1
ADBE_2018-12-31,ADBE,2018-12-13,61,215,85,4,1
ADBE_2019-03-29,ADBE,2019-01-31,61,231,82,5,1
ADBE_2019-06-28,ADBE,2019-06-18,47,216,56,3,1
ADBE_2019-09-30,ADBE,2019-09-17,59,217,77,3,1
ADI_2018-09-28,ADI,2018-07-31,80,139,47,0,1
ADI_2018-12-31,ADI,2018-10-31,85,140,53,1,1
ADI_2019-03-29,ADI,2019-01-31,66,109,57,1,1
ADI_2019-06-28,ADI,2019-05-22,78,112,70,1,1
ADI_2019-09-30,ADI,2019-08-21,94,104,55,5,1
ADI_2019-12-31,ADI,2019-11-26,88,99,67,1,1
ADM_2019-06-28,ADM,2019-04-26,133,216,119,10,1
ADM_2019-09-30,ADM,2019-08-01,112,153,91,3,1
ADM_2019-12-31,ADM,2019-10-31,114,165,112,5,1
ADP_2018-09-28,ADP,2018-06-30,122,226,115,10,-1
ADP_2018-12-31,ADP,2018-10-31,88,299,109,8,1
ADP_2019-06-28,ADP,2019-05-01,78,219,87,9,1
ADP_2019-09-30,ADP,2019-07-31,110,270,117,11,1
ADP_2019-12-31,ADP,2019-10-30,100,229,98,17,0
ADSK_2018-09-28,ADSK,2018-07-31,77,155,51,2,1
ADSK_2018-12-31,ADSK,2018-11-20,58,177,75,4,1
ADSK_2019-06-28,ADSK,2019-05-23,73,189,66,6,1
ADSK_2019-09-30,ADSK,2019-08-27,120,172,72,3,1
ADSK_2019-12-31,ADSK,2019-11-26,63,157,60,10,1
ADTN_2018-09-28,ADTN,2018-06-30,69,122,82,3,1
ADTN_2019-06-28,ADTN,2019-04-18,59,123,51,2,0
ADTN_2019-09-30,ADTN,2019-07-18,58,68,58,7,0
ADTN_2019-12-31,ADTN,2019-11-08,73,89,67,6,0
AEO_2018-09-28,AEO,2018-07-31,66,224,48,1,1
AEO_2018-12-31,AEO,2018-10-31,58,227,46,4,1
AEO_2019-03-29,AEO,2019-02-02,72,198,40,2,1
AEO_2019-06-28,AEO,2019-06-05,81,225,44,2,1
AEO_2019-09-30,AEO,2019-09-04,92,234,52,4,1
AEO_2019-12-31,AEO,2019-12-11,85,187,40,2,1
AEP_2017-12-29,AEP,2017-09-30,63,98,54,18,1
AEP_2018-12-31,AEP,2018-10-25,56,121,80,55,1
AEP_2019-06-28,AEP,2019-03-31,69,92,37,32,1
AEP_2019-12-31,AEP,2019-10-24,63,151,65,41,1
AES_2018-09-28,AES,2018-06-30,46,121,83,36,1
AES_2018-12-31,AES,2018-11-06,48,118,68,26,1
AES_2019-06-28,AES,2019-05-07,56,92,65,27,1
AES_2019-09-30,AES,2019-08-06,55,118,41,25,1
AES_2019-12-31,AES,2019-11-06,52,114,57,33,1
AFL_2018-12-31,AFL,2018-10-25,110,147,86,8,0
AFL_2019-06-28,AFL,2019-04-26,75,132,80,13,0
AFL_2019-09-30,AFL,2019-07-26,107,155,79,14,0
AFL_2019-12-31,AFL,2019-10-25,106,109,71,12,0
AGCO_2019-06-28,AGCO,2019-05-02,62,84,44,3,0
AGCO_2019-09-30,AGCO,2019-07-30,78,106,58,1,0
AGCO_2019-12-31,AGCO,2019-10-29,79,115,63,4,1
AGEN_2019-03-29,AGEN,2019-03-14,45,75,35,0,-1
AGEN_2019-06-28,AGEN,2019-05-09,37,140,39,4,-1
AGEN_2019-09-30,AGEN,2019-08-08,90,132,71,12,-1
AGEN_2019-12-31,AGEN,2019-11-04,52,123,47,17,-1
AGN_2018-12-31,AGN,2018-10-30,180,304,166,14,-1
AGN_2019-06-28,AGN,2019-05-07,106,177,88,16,1
AGNC_2019-06-28,AGNC,2019-04-25,113,73,108,3,1
AGNC_2019-09-30,AGNC,2019-07-25,119,88,102,3,1
AGNC_2019-12-31,AGNC,2019-10-31,95,103,110,5,1
AIG_2018-09-28,AIG,2018-06-30,150,216,95,10,1
AIG_2018-12-31,AIG,2018-11-01,204,153,120,17,1
AIG_2019-06-28,AIG,2019-05-07,168,193,145,6,1
AIG_2019-09-30,AIG,2019-08-08,135,234,99,18,1
AIG_2019-12-31,AIG,2019-11-01,175,229,133,22,1
AIR_2018-03-30,AIR,2018-02-28,43,87,33,27,-1
AIR_2018-09-28,AIR,2018-08-31,50,137,53,12,-1
AIR_2019-03-29,AIR,2019-02-28,61,97,47,22,1
AIR_2019-09-30,AIR,2019-07-10,39,111,60,19,-1
AIR_2019-12-31,AIR,2019-12-19,42,110,41,32,-1
AKAM_2019-06-28,AKAM,2019-04-30,83,206,109,9,1
AKAM_2019-09-30,AKAM,2019-07-30,116,182,121,13,1
AKAM_2019-12-31,AKAM,2019-10-28,98,184,92,10,1
AKRX_2019-06-28,AKRX,2019-05-07,80,132,46,10,-1
AKRX_2019-09-30,AKRX,2019-08-01,91,108,72,31,-1
AKRX_2019-12-31,AKRX,2019-10-31,108,121,69,31,-1
AKS_2018-12-31,AKS,2018-10-26,72,163,56,33,1
AKS_2019-06-28,AKS,2019-04-30,69,121,84,12,0
AKS_2019-12-31,AKS,2019-10-31,81,133,73,15,0
ALB_2018-09-28,ALB,2018-06-30,83,112,94,40,1
ALB_2018-12-31,ALB,2018-11-08,97,88,78,27,1
ALB_2019-06-28,ALB,2019-05-09,84,111,107,29,1
ALB_2019-09-30,ALB,2019-08-08,104,115,78,39,1
ALB_2019-12-31,ALB,2019-11-07,103,124,65,24,1
ALGN_2018-09-28,ALGN,2018-06-30,64,149,85,12,-1
ALGN_2018-12-31,ALGN,2018-10-24,87,140,90,8,-1
ALGN_2019-06-28,ALGN,2019-04-24,101,188,108,28,-1
ALGN_2019-09-30,ALGN,2019-07-24,110,180,95,28,1
ALGN_2019-12-31,ALGN,2019-10-23,94,153,74,8,1
ALGT_2018-12-31,ALGT,2018-10-24,59,82,80,4,1
ALGT_2019-06-28,ALGT,2019-03-31,82,170,72,1,1
ALGT_2019-09-30,ALGT,2019-07-24,107,182,99,6,1
ALGT_2019-12-31,ALGT,2019-10-24,79,167,92,6,1
ALK_2018-12-31,ALK,2018-10-25,70,154,68,2,1
ALK_2019-06-28,ALK,2019-04-25,101,219,90,6,1
ALK_2019-09-30,ALK,2019-07-25,74,216,75,13,1
ALK_2019-12-31,ALK,2019-10-24,66,178,70,7,1
ALKS_2018-06-29,ALKS,2018-03-31,57,100,68,10,1
ALKS_2018-12-31,ALKS,2018-10-23,83,122,82,15,0
ALKS_2019-06-28,ALKS,2019-04-25,80,113,80,16,0
ALKS_2019-09-30,ALKS,2019-07-25,124,123,91,21,0
ALKS_2019-12-31,ALKS,2019-10-23,112,97,76,9,-1
ALL_2018-12-31,ALL,2018-11-01,149,189,71,24,1
ALL_2019-06-28,ALL,2019-05-02,153,134,107,26,1
ALL_2019-09-30,ALL,2019-07-31,107,187,101,33,1
ALL_2019-12-31,ALL,2019-10-30,177,173,62,14,1
ALNY_2018-09-28,ALNY,2018-06-30,91,142,95,27,-1
ALNY_2018-12-31,ALNY,2018-11-07,78,114,76,9,1
ALNY_2019-06-28,ALNY,2019-05-01,82,171,88,7,-1
ALNY_2019-09-30,ALNY,2019-08-06,86,196,87,16,1
ALNY_2019-12-31,ALNY,2019-10-31,109,180,101,18,1
ALXN_2018-12-31,ALXN,2018-10-24,87,164,101,22,-1
ALXN_2019-06-28,ALXN,2019-04-25,117,204,133,8,-1
ALXN_2019-09-30,ALXN,2019-07-24,91,127,83,14,-1
ALXN_2019-12-31,ALXN,2019-10-23,92,159,88,12,-1
AMAT_2018-09-28,AMAT,2018-07-31,75,162,64,6,1
AMAT_2018-12-31,AMAT,2018-10-31,80,145,83,3,1
AMAT_2019-03-29,AMAT,2019-01-31,95,159,59,2,1
AMAT_2019-06-28,AMAT,2019-05-16,85,181,66,5,1
AMAT_2019-09-30,AMAT,2019-08-15,54,199,53,4,1
AMAT_2019-12-31,AMAT,2019-11-14,76,197,73,13,1
AMBA_2019-06-28,AMBA,2019-06-04,98,100,120,5,1
AMBA_2019-09-30,AMBA,2019-08-29,50,96,95,2,-1
AMBA_2019-12-31,AMBA,2019-11-25,55,101,91,4,0
AMC_2019-03-29,AMC,2019-02-28,59,142,71,7,1
AMC_2019-06-28,AMC,2019-05-09,53,130,74,9,1
AMC_2019-09-30,AMC,2019-08-08,83,195,117,6,1
