,3/31/2017,6/30/2017,9/29/2017,12/29/2017,3/30/2018,6/29/2018,9/28/2018,12/31/2018,3/29/2019,6/28/2019,9/30/2019,12/31/2019
A UN Equity,4.5,4.333,4.429,4.429,4.467,4.714,4.714,4.571,5,4.867,4.286,4.067
AA UN Equity,4.294,4.286,4.125,4.2,4.333,4.2,4.294,4.333,4.444,4.294,3.875,3.533
AAL UW Equity,3.588,3.333,3.632,3.737,4.053,4.333,4.412,4.45,4.227,4.227,3.864,3.714
AAN UN Equity,4.2,4,4.2,4.636,4.556,4.778,4.778,4.556,4.778,4.778,4.8,4.8
AAOI UQ Equity,4.143,4,3.8,3.444,3.444,3.2,3,3.222,2.556,3,3,3
AAON UW Equity,3,3,3,3,3,3,3,3,3,2.333,2.333,2.333
AAP UN Equity,3.821,3.893,3.852,3.75,3.741,3.96,4.04,4,4.25,4.364,4.238,4.043
AAPL UW Equity,4.52,4.565,4.591,4.636,4.227,4.174,4.17,3.98,3.978,3.796,3.813,3.878
AAT UN Equity,4,4,3.857,3.571,3.857,3.857,3.857,4.143,4.143,4,4,4
AAWW UW Equity,4.222,4,4,4.2,4.4,4.4,4.455,4.273,4.273,4.273,4,4
AAXN UW Equity,4.333,4.333,4.333,4.333,4.2,4.091,4.143,4.143,4.286,4.286,4.286,4.267
ABBV UN Equity,3.727,3.818,3.727,3.917,3.8,3.667,3.609,3.6,3.3,3.625,4.231,4.231
ABC UN Equity,3.875,3.667,3.667,4.2,4.263,4.222,4.111,4.059,4.176,3.737,3.737,3.632
ABCB UW Equity,3.333,3.667,3.667,4,4.2,3.8,3.667,4.667,5,5,5,5
ABEO UR Equity,5,5,5,5,5,5,5,4.8,4.8,4.8,4,4.143
ABG UN Equity,3.615,3.615,3.5,3.364,3.364,3.444,3.6,3.4,3.4,3.4,3.2,3.2
ABM UN Equity,3.667,3.667,4.6,4.6,4.5,4.5,4,4,4,3.8,3.667,3.571
ABMD UW Equity,4.75,4.778,4.8,4.6,4.6,4.636,4.636,5,5,5,4.333,4.111
ABT UN Equity,4.4,4.333,4.273,4.364,4.565,4.545,4.545,4.6,4.538,4.5,4.652,4.6
ABTX UQ Equity,4,4,4,4,4,4,4,3.8,3.667,3.8,3.8,3.4
AC UN Equity,#N/A N/A,,,,,,,,,,,
ACA UN Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,4.4,4.375,4.444,4.5,4.444
ACAD UW Equity,4.25,4.364,4.5,4.5,4.625,4.625,4.5,4.25,4.25,4.25,4.583,4.533
ACBI UW Equity,3.333,3.333,3.333,3.333,3.667,3.667,3.667,4.667,4.667,4.333,4,4
ACC UN Equity,3.4,3.533,3.75,3.385,3.583,3.636,3.455,3.583,3.583,3.727,4.091,4
ACCO UN Equity,4.2,4.2,4.2,4.2,4.2,4.333,4.333,4.333,4.333,4.333,4.333,4.333
ACER UR Equity,#N/A N/A,#N/A N/A,3,5,5,5,5,5,5,4,4,4
ACGL UW Equity,3.667,3.615,3.714,3.714,3.769,3.714,3.667,3.667,3.857,4,3.857,3.714
ACHC UW Equity,4.733,4.625,4.6,4.176,4.176,4.25,4.125,4,3.941,3.875,3.933,3.857
ACIA UW Equity,4.75,4.4,4.455,4.636,4.143,4.067,4,3.923,3.714,3.857,3.444,3.444
ACIW UW Equity,4.333,4.2,4.333,4.333,4.2,4.2,4.2,4.5,4.5,5,5,5
ACLS UW Equity,4.6,4.6,4.6,4.2,4.6,4.667,5,4.2,4.6,4.2,4.2,4.667
ACM UN Equity,4.385,4.143,4,3.8,3.933,3.857,3.769,4,4,3.667,4.167,4.636
ACN UN Equity,4.031,3.967,3.967,3.968,4.097,4.069,3.893,4.036,4.069,3.962,4.036,4.222
ACNB UR Equity,#N/A N/A,,,,,,,,,,,
ACOR UW Equity,4.2,3.75,3.667,3.154,3.4,3.222,3.2,3,3.25,3.222,3,2.714
ACRE UN Equity,3.875,3.875,3.5,3.5,3.2,3.6,3.5,3.714,3.833,3.6,3.6,3.6
ACRS UW Equity,4.833,4.833,4.833,4.833,4.857,4.857,4.833,4.833,4.833,4.5,4.2,4.6
ACRX UQ Equity,4.333,4.333,4.333,4,4.333,4.5,4.333,4.714,4.714,4.75,4.75,4.667
ACTG UW Equity,3.667,3.667,3.667,3.667,3.667,5,5,5,5,5,5,5
ADBE UW Equity,4.5,4.424,4.441,4.382,4.394,4.267,4.333,4.438,4.212,4.226,4.267,4.25
ADC UN Equity,4.273,4.273,4.4,4.6,4.556,4.556,4.556,4.778,4.556,4.556,4.556,4.818
ADES UQ Equity,5,5,5,5,5,5,5,5,5,5,5,5
ADI UW Equity,4.214,4.179,4.185,4.185,4.407,4.462,4.185,4.185,4,4.077,4.185,4.286
ADM UN Equity,3.25,3.133,3,2.889,3.5,3.625,3.75,3.8,4.143,4.231,4.286,4.286
ADMA UQ Equity,4.5,4.5,4.5,5,5,5,5,4.833,4.857,5,5,5
ADMS UQ Equity,4.889,4.857,4.857,4.889,4.9,4.9,4.909,4.545,4,4.3,4,4
ADNT UN Equity,3.8,3.8,3.714,3.667,3.286,3.143,3.308,3.125,3,3.25,2.846,2.846
